date	tank_type	tier	tank	outcome	survived	map	damage_dealt	damage_spotting	damage_blocked	experience_earned	bonds_earned	kills	credits
25/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Malinovka	431	0	0	203	0	0	4332
25/11/2017	medium	8	T-54 mod.1	win	1	Fishermans Bay	2307	1020	780	1653	1	2	71865
25/11/2017	tank destroyer	8	Strv S1	lost	0	Westfield	1921	315	230	537	0	0	37597
25/11/2017	medium	7	T-43	win	0	Ensk	551	0	0	731	0	0	8870
25/11/2017	heavy	8	T26E5	win	0	Murovanka	244	605	470	338	0	0	27461
25/11/2017	tank destroyer	8	WZ-120-1G	win	0	Steppes	1574	671	490	1166	0	1	50635
25/11/2017	tank destroyer	8	Strv S1	lost	0	El Halluf	2616	78	0	726	0	2	41481
25/11/2017	tank destroyer	10	Jp Pz E100	win	1	Malinovka	2654	2454	550	1055	0	1	28288
25/11/2017	tank destroyer	8	Strv S1	win	1	Redshire	1489	512	0	1007	0	2	43982
25/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Siegfried Line	876	1215	790	242	0	0	30059
25/11/2017	medium	6	Strv 74	win	1	Arctic Region	1098	141	0	1076	0	6	23186
25/11/2017	medium	6	Strv 74	win	0	Lakeville	585	0	250	615	0	0	12220
25/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Winterberg	0	0	0	105	0	0	3250
25/11/2017	heavy	8	T26E5	lost	0	Ensk	891	324	0	588	0	1	27243
25/11/2017	medium	8	T-54 mod.1	win	0	Malinovka	786	390	0	1122	0	0	29109
25/11/2017	medium	8	T-54 mod.1	win	1	Redshire	970	972	0	965	0	0	47283
25/11/2017	tank destroyer	8	Strv S1	lost	0	Fjords	355	0	0	150	0	0	13016
25/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Prokhorovka	680	3100	272	1240	0	2	55327
25/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Cliff	397	0	0	231	0	0	3633
25/11/2017	tank destroyer	8	Strv S1	lost	0	Abbey	2953	0	240	717	0	2	68757
25/11/2017	medium	8	T-54 mod.1	win	1	Kharkov	2058	34	1280	1511	0	3	60603
25/11/2017	medium	6	Strv 74	win	1	Siegfried Line	1123	0	0	888	0	0	34471
25/11/2017	tank destroyer	8	WZ-120-1G	win	1	Winterberg	1942	90	320	1143	0	2	50930
25/11/2017	medium	7	T-43	win	0	Lakeville	508	137	0	803	0	0	10577
25/11/2017	heavy	6	KV-2	win 	0	Malinovka	637	253	1300	869	0	1	12172
25/11/2017	tank destroyer	8	WZ-120-1G	loss	0	Himmelsdorf	424	144	1660	189	0	0	8514
25/11/2017	tank destroyer	8	WZ-120-1G	loss	0	Ensk	2814	575	880	833	0	2	53729
25/11/2017	tank destroyer	8	Strv S1	win	1	Overlord	416	566	0	663	0	0	34781
25/11/2017	medium	7	Comet	loss	1	Mines	532	0	0	200	0	0	7312
25/11/2017	medium	7	Comet	loss	0	Stalingrad	1459	98	440	656	0	0	13119
25/11/2017	heavy	8	T26E5	win	0	Murovanka	257	160	0	804	0	0	21569
25/11/2017	tank destroyer	8	WZ-120-1G	loss	0	Sacred Valley	0	461	0	277	0	0	9706
25/11/2017	medium	7	Comet	lost	0	Paris	0	0	0	143	0	0	-8464
25/11/2017	medium	8	T-54 mod.1	win	0	Cliff	538	40	0	0	0	0	27433
25/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Pilsen	469	453	390	267	0	0	14436
02/12/2017	tank destroyer	8	WZ-120-1G	win	1	Lakeville	1616	0	0	749	0	1	32550
02/12/2017	tank destroyer	8	Strv S1	lost	0	Fiery Salient	2070	0	0	270	0	0	32847
02/12/2017	heavy	10	Pz.Kpfw.VII	lost	1	Nebelburg	1792	453	2730	432	0	0	-6048
02/12/2017	tank destroyer	8	WZ-120-1G	win	1	Erlenberg	861	0	0	890	0	0	35520
02/12/2017	heavy	8	T26E5	win	1	Cliff	1593	1524	211	1280	0	5	82176
02/12/2017													
02/12/2017													
02/12/2017													
