"","date","game_number","session","tank_type","tier","tank","outcome","survived","map","damage_dealt","damage_spotting","damage_blocked","experience_earned","bonds_earned","kills","credits"
"82",2017-11-12,9,8,"Medium",9,"M46 Patton","loss",0,"Steppes",1714,1109,2500,612,0,1,-11620
"83",2017-11-12,10,8,"Medium",7,"T-43","win ",1,"Sacred Valley",1545,558,240,1260,0,3,28916
"84",2017-11-12,11,8,"SPG",9,"M40/M43","loss",0,"Fiery Salient",967,489,0,198,0,0,-2878
"85",2017-11-12,12,8,"Medium",10,"E50M","loss",0,"Sand River",3630,457,240,755,0,4,-3665
"86",2017-11-12,13,8,"Heavy",8,"T26E5","win",1,"Arctic Region",2031,41,1620,1202,1,2,62504
"87",2017-11-12,14,8,"Heavy",10,"T110E5","lost",0,"Swamp",1121,727,1130,266,0,0,-12261
"88",2017-11-12,15,8,"Medium",6,"Strv 74","win",0,"Fjords",917,0,0,807,0,1,11720
"89",2017-11-12,16,8,"Light",9,"AMX 13 90","lost",0,"Murovanka",509,868,0,267,0,0,1650
"90",2017-11-12,17,8,"Medium",8,"T-54 mod.1","lost",0,"Overlord",504,62,0,225,0,0,11543
"91",2017-11-12,18,8,"Heavy",6,"KV-2","win",1,"Redshire",917,453,150,909,0,1,16949
"92",2017-11-12,19,8,"Medium",10,"M48 Patton","win",0,"Pilsen",1595,0,440,936,0,1,694
"93",2017-11-12,20,8,"Heavy",10,"T110E5","win",1,"Tundra",2795,34,950,1169,5,4,6629
"94",2017-11-12,21,8,"Heavy",10,"T110E5","win",1,"Paris",2139,2426,780,1436,12,1,15404
"95",2017-11-12,22,8,"Heavy",10,"T110E5","win",1,"Mines",1668,0,800,341,0,0,24702
"96",2017-11-12,23,8,"Heavy",10,"T110E5","lost",0,"Mountain Pass",4393,0,2710,989,0,4,15681
"97",2017-11-12,24,8,"Medium",8,"T-54 mod.1","lost",0,"Live Oaks",806,230,0,426,0,0,19827
"98",2017-11-12,25,8,"Heavy",10,"T110E5","win",0,"Ruinberg",2806,2570,350,1305,0,1,2221
"99",2017-11-12,26,8,"Heavy",10,"T110E5","win",0,"Highway",849,0,0,792,0,0,-10047
"100",2017-11-13,1,9,"Heavy",8,"T26E5","lost",0,"Malinovka",1506,1061,220,648,0,0,45111
"101",2017-11-13,2,9,"Medium",8,"T-54 mod.1","lost",0,"Murovanka",708,0,790,258,0,0,15389
"102",2017-11-13,3,9,"Medium",8,"FV4202","lost",0,"Cliff",843,230,585,438,0,1,20669
"103",2017-11-13,4,9,"Heavy",8,"T34","win",0,"Steppes",1177,1259,490,966,0,1,46045
"104",2017-11-13,5,9,"Heavy",8,"T26E5","lost",0,"Sacred Valley",0,0,0,117,0,0,1403
"105",2017-11-14,1,10,"Heavy",8,"T26E5","lost",0,"Siegfried Line",710,256,240,296,0,0,22808
"106",2017-11-14,2,10,"Heavy",8,"T26E5","win",0,"Malinovka",1404,1490,1150,1328,0,1,59649
"107",2017-11-14,3,10,"Heavy",8,"T26E5","lost",0,"Ensk",990,0,1260,416,0,1,23586
"108",2017-11-14,4,10,"Heavy",8,"T26E5","lost",0,"Lakeville",441,0,0,296,0,0,10073
"109",2017-11-17,1,11,"Heavy",8,"T26E5","lost",0,"Murovanka",1104,0,480,471,0,0,27837
"110",2017-11-17,2,11,"Medium",8,"T-54 mod.1","win",1,"El Halluf",2924,311,2270,1890,1,2,79418
"111",2017-11-17,3,11,"Heavy",8,"T26E5","lost",0,"Windstorm",483,381,400,497,0,0,18124
"112",2017-11-17,4,11,"Medium",8,"T-54 mod.1","win",1,"Swamp",1784,392,490,1107,0,1,55429
"113",2017-11-17,5,11,"Medium",7,"T-43","win",0,"Westfield",0,0,0,444,0,0,3725
"114",2017-11-17,6,11,"Heavy",8,"T26E5","win",0,"Ensk",1115,0,445,1310,0,3,47449
"115",2017-11-17,7,11,"Medium",8,"T-54 mod.1","win",0,"Serene Coast",1722,398,900,1328,0,5,56907
"116",2017-11-17,8,11,"Medium",8,"T-54 mod.1","win",1,"Malinovka",0,573,240,656,0,0,16084
"117",2017-11-17,9,11,"Medium",8,"T-54 mod.1","win",0,"Steppes",902,240,1897,1274,0,1,54625
"118",2017-11-17,10,11,"Medium",8,"T-54 mod.1","win",0,"Mines",0,470,1140,641,0,0,28151
"119",2017-11-17,11,11,"Medium",8,"T-54 mod.1","lost",0,"Himmelsdorf",1489,252,2140,524,0,0,35199
"120",2017-11-17,12,11,"Tank Destroyer",10,"Jp Pz E100","draw",0,"Nebelburg",0,0,0,417,0,0,-20619
"121",2017-11-17,13,11,"Heavy",10,"T110E5","lost",0,"Westfield",762,0,890,278,0,0,-14366
